Movie_Name,Release_Date(N/LW/Festive),Genre-Defind,Movie_Content,Dir_CAT,LEAD_ACTOR_CAT,Item_Song(Y/N),Production_House_CAT,Music_Dir_CAT,Box_Office_Collection,Profit,Earning_Ratio,Budget,Youtube_Views,Youtube_Likes,Youtube_Dislikes,Success/Faliure
Ghanchakkar,N,Comedy,Masala,LK,A,1,LK,B,38,8,1.27,30,2248046,5108,614,0
Shamitabh,N, Drama ,Masala,B,A,0,A,LK,38,-2,0.95,40,2105508,5599,677,0
Kai Po Che!,N, Drama ,Masala,B,LK,0,A,A,62,32,2.07,30,1888754,5686,512,1
Chennai Express,FS,Comedy,Masala,A,A,1,A,A,395,320,5.27,75,1882346,7954,1593,1
Ek Thi Daayan,FS,Thriller / Suspense / Horror,Masala,LK,B,1,B,A,45,21,1.88,24,1837437,3296,613,1
Special 26,N, Drama ,Masala,B,A,0,B,A,103,61,2.45,42,1829417,6248,568,1
Grand Masti,LW,Comedy,Masala,B,B,1,A,A,298,263,8.51,35,1795640,3015,721,1
Madras Cafe,N,Thriller / Suspense / Horror,Social Subject,B,B,0,A,A,43,8,1.22,35,1709945,2974,594,0
Satyagraha,N, Drama ,Social Subject,A,A,1,A,A,60,10,1.2,50,1422568,2736,394,0
Shahid,FS, Drama ,Biography,B,B,0,A,LK,40,34,6.35,6,1148516,3155,396,1
Citylights,HS, Drama ,Masala,LK,B,0,A,B,35,28,5,7,1076591,1806,84,1
The Lunchbox,N, Drama ,Masala,LK,A,0,LK,LK,85,75,8.5,10,1064854,4054,285,1
Jai Ho,N,Action / Sci Fi,Masala,A,A,0,B,A,111,-9,0.93,120,868743,2783,404,0
Shootout at Wadala,N,Thriller / Suspense / Horror,Masala,B,B,1,A,A,75,30,1.67,45,769365,784,126,1
Fukrey,N,Comedy,Masala,LK,LK,1,B,LK,36,31,7.24,5,227912,222,39,1
Chashme Baddoor,N,Comedy,Masala,A,B,1,A,A,42,22,2.1,20,166066,2897,283,1
Shuddh Desi Romance,LW,Romance,Masala,LK,B,0,A,A,55,30,2.2,25,5142,1,1,1
